starName1,starName2,constellation
24αPsA,18εPsA,Piscis Austrinus (みなみのうお座)
18εPsA,16λPsA,Piscis Austrinus (みなみのうお座)
16λPsA,9ιPsA,Piscis Austrinus (みなみのうお座)
λCrA,εCrA,Corona Australis (みなみのかんむり座)
εCrA,γCrA,Corona Australis (みなみのかんむり座)
γCrA,αCrA,Corona Australis (みなみのかんむり座)
αCrA,βCrA,Corona Australis (みなみのかんむり座)
βCrA,δCrA,Corona Australis (みなみのかんむり座)
δCrA,ζCrA,Corona Australis (みなみのかんむり座)
γTrA,βTrA,Triangulum Australe (みなみのさんかく座)
βTrA,αTrA,Triangulum Australe (みなみのさんかく座)
αTrA,γTrA,Triangulum Australe (みなみのさんかく座)
7δSge,5αSge,Sagitta (や座)
7δSge,6βSge,Sagitta (や座)
7δSge,12γSge,Sagitta (や座)
6α2Cap,9βCap,Capricornus (やぎ座)
9βCap,10πCap,Capricornus (やぎ座)
10πCap,16ψCap,Capricornus (やぎ座)
16ψCap,18ωCap,Capricornus (やぎ座)
18ωCap,24Cap,Capricornus (やぎ座)
24Cap,34ζCap,Capricornus (やぎ座)
34ζCap,36Cap,Capricornus (やぎ座)
36Cap,39εCap,Capricornus (やぎ座)
39εCap,40γCap,Capricornus (やぎ座)
40γCap,32ιCap,Capricornus (やぎ座)
32ιCap,23θCap,Capricornus (やぎ座)
23θCap,9βCap,Capricornus (やぎ座)
40γCap,49δCap,Capricornus (やぎ座)
2Lyn,21Lyn,Lynx (やまねこ座)
21Lyn,31Lyn,Lynx (やまねこ座)
31Lyn,HIP44248Lyn,Lynx (やまねこ座)
HIP44248Lyn,HIP44700Lyn,Lynx (やまねこ座)
HIP44700Lyn,38Lyn,Lynx (やまねこ座)
38Lyn,40αLyn,Lynx (やまねこ座)
βPyx,αPyx,Pyxis (らしんばん座)
αPyx,γPyx,Pyxis (らしんばん座)
1λDra,5κDra,Draco (りゅう座)
5κDra,11αDra,Draco (りゅう座)
11αDra,12ιDra,Draco (りゅう座)
12ιDra,13θDra,Draco (りゅう座)
13θDra,14ηDra,Draco (りゅう座)
14ηDra,22ζDra,Draco (りゅう座)
22ζDra,28ωDra,Draco (りゅう座)
28ωDra,43φDra,Draco (りゅう座)
43φDra,60τDra,Draco (りゅう座)
60τDra,63εDra,Draco (りゅう座)
63εDra,57δDra,Draco (りゅう座)
57δDra,32ξDra,Draco (りゅう座)
32ξDra,33γDra,Draco (りゅう座)
33γDra,23βDra,Draco (りゅう座)
23βDra,24ν1Dra,Draco (りゅう座)
24ν1Dra,32ξDra,Draco (りゅう座)
αCar,χCar,Carina (りゅうこつ座)
χCar,εCar,Carina (りゅうこつ座)
εCar,ιCar,Carina (りゅうこつ座)
ιCar,HIP50371Car,Carina (りゅうこつ座)
HIP50371Car,HIP51576Car,Carina (りゅうこつ座)
HIP51576Car,θCar,Carina (りゅうこつ座)
θCar,ωCar,Carina (りゅうこつ座)
ωCar,βCar,Carina (りゅうこつ座)
βCar,υCar,Carina (りゅうこつ座)
υCar,ιCar,Carina (りゅうこつ座)
αCar,βCar,Carina (りゅうこつ座)
8βCVn,12α2CVn,Canes Venatici (猟犬座)
βRet,γRet,Reticulum (レチクル座)
γRet,δRet,Reticulum (レチクル座)
δRet,εRet,Reticulum (レチクル座)
εRet,αRet,Reticulum (レチクル座)
αRet,βRet,Reticulum (レチクル座)
μFor,βFor,Fornax (ろ座)
βFor,αFor,Fornax (ろ座)
αFor,δFor,Fornax (ろ座)
8γSex,15αSex,Sextans (ろくぶんぎ座)
15αSex,30βSex,Sextans (ろくぶんぎ座)
13εAql,17ζAql,Aquila (わし座)
17ζAql,50γAql,Aquila (わし座)
50γAql,53αAql,Aquila (わし座)
53αAql,60βAql,Aquila (わし座)
60βAql,65θAql,Aquila (わし座)
67ρAql,61φAql,Aquila (わし座)
61φAql,50γAql,Aquila (わし座)
53αAql,38μAql,Aquila (わし座)
38μAql,30δAql,Aquila (わし座)
30δAql,16λAql,Aquila (わし座)
